Method,"X(mean 100, var 10)","Y(mean 110, var 15)","X(mean = 1, var =2)","Y (mean = 3, var = 1.4)","X(mean = 0.54, var = 0.019)","Y(mean = 0.7, var = 0.016)"
Difference Sampling,101.9194784,110.7885586,6.39,7.17,0.539839018,0.698961358
Difference Sampling,97.83493946,109.2241378,-0.25,1.69,0.622127825,0.782307357
Difference Sampling,97.63636988,108.7517044,1.38,2.76,0.604959152,0.75554498
Difference Sampling,95.46659322,102.5006638,1.97,3.24,0.732502802,0.834074815
Difference Sampling,100.8988551,110.7452721,0.13,2.84,0.49761533,0.602675876
Difference Sampling,95.28485057,103.7831023,1.47,2.61,0.525764375,0.676144452
Difference Sampling,103.4716339,114.7430652,1.39,2.97,0.354007865,0.533814767
Difference Sampling,99.48399619,111.825434,2.40,5.06,0.484174502,0.706158178
Difference Sampling,100.8471537,112.1243688,0.56,3.43,0.543217853,0.712588818
Difference Sampling,100.902458,108.9436162,-0.04,3.25,0.395280888,0.526477365
Difference Sampling,97.55020936,109.7726288,4.17,5.55,0.438630784,0.667502686
Difference Sampling,103.1779896,111.8155089,-0.59,0.93,0.674402095,0.876390511
Difference Sampling,102.9077456,115.1863366,-0.80,1.55,0.542032422,0.669333868
Difference Sampling,104.4485653,118.5775115,1.31,2.43,0.821774445,0.865945791
Difference Sampling,102.3639217,110.4671068,2.37,4.21,0.52042121,0.635182593
Difference Sampling,97.63116092,105.4158932,-1.57,3.14,0.550893556,0.74265204
Difference Sampling,100.8441157,112.2414215,-1.83,1.27,0.295001478,0.520171273
Difference Sampling,96.28772301,104.1566903,1.54,3.28,0.699091266,0.814937017
Difference Sampling,101.1434587,112.0006308,-1.61,1.59,0.554686806,0.742873544
Difference Sampling,99.28362007,107.7701145,4.21,5.40,0.495968236,0.856723188
Difference Sampling,96.54367489,104.6519042,3.96,5.56,0.651719789,0.754352419
Difference Sampling,103.9518185,112.7347082,2.57,4.51,0.743035866,0.863534156
Difference Sampling,96.69216046,107.6902681,4.08,5.24,0.511398785,0.632636303
Difference Sampling,101.6444618,109.5937238,2.30,3.56,0.470318953,0.649505508
Difference Sampling,100.4782769,109.6798246,0.35,3.26,0.307489653,0.409033469
Difference Sampling,102.7977209,111.4126897,-0.38,2.55,0.394083179,0.605764325
Difference Sampling,98.07088394,109.8262434,0.84,2.67,0.564588379,0.726872636
Difference Sampling,100.3964868,112.0178083,-1.67,0.47,0.535730687,0.704650086
Difference Sampling,95.77047712,102.4875902,-0.39,1.41,0.582080696,0.716753712
Difference Sampling,99.19241695,105.1414435,2.50,4.57,0.605941844,0.719789796
Difference Sampling,101.6483212,113.6495354,-0.71,1.85,0.60827622,0.745441419
Difference Sampling,101.4619044,114.5880611,-1.18,1.54,0.379804974,0.6210063
Difference Sampling,103.5515603,113.4906164,2.10,3.31,0.685844093,0.8576055
Difference Sampling,99.5586156,110.4652858,1.61,2.69,0.555054944,0.745844539
Difference Sampling,100.1489472,112.0899614,-0.70,1.64,0.597139999,0.720954217
Difference Sampling,103.1000176,110.6873683,1.95,4.97,0.751006051,0.828550622
Difference Sampling,100.7901175,114.0097396,1.23,3.06,0.691243902,0.814344562
Difference Sampling,102.98355,113.1598717,1.57,2.80,0.791051848,0.873887851
Difference Sampling,101.3342155,110.4353828,3.03,4.68,0.457430342,0.588039302
Difference Sampling,96.86752968,108.2489973,-0.09,2.54,0.59245542,0.694781049
Difference Sampling,101.8596312,111.6219337,-3.27,2.16,0.475604507,0.675522409
Difference Sampling,101.8419768,112.5697319,1.02,3.13,0.592702839,0.790875788
Difference Sampling,100.6347294,109.8355981,1.02,2.65,0.656162405,0.757473001
Difference Sampling,101.0827752,111.7306541,-1.06,0.92,0.494342016,0.604221953
Difference Sampling,95.62536317,107.62528,1.20,3.39,0.554972222,0.657516262
Difference Sampling,104.1370219,116.3615482,0.27,1.37,0.4456582,0.582749981
Difference Sampling,101.227965,111.4719292,2.04,2.67,0.680980355,0.806101328
Difference Sampling,100.3106612,111.5419332,1.08,3.36,0.309045234,0.430837755
Difference Sampling,103.3332589,110.9786589,1.76,3.40,0.493676725,0.61089003
Difference Sampling,102.9184368,114.5275739,1.39,3.13,0.157685169,0.26968101
Difference Sampling,105.7200827,113.7185099,0.06,1.29,0.451026249,0.587048696
Difference Sampling,95.5509141,103.9959479,3.58,4.26,0.434124253,0.714615453
Difference Sampling,102.9998019,113.7858814,1.19,3.99,0.600945487,0.698156149
Difference Sampling,96.87308864,108.4322617,0.80,2.92,0.749820707,0.864588863
Difference Sampling,99.355234,110.1657465,0.85,2.17,0.596165505,0.76400737
Difference Sampling,103.6838811,114.2015709,1.43,3.43,0.607088474,0.738780547
Difference Sampling,101.4827616,108.9941758,0.33,3.77,0.46602103,0.641741501
Difference Sampling,103.8491455,113.1389416,2.04,4.11,0.309384228,0.419447739
Difference Sampling,93.41542439,104.044072,2.75,4.75,0.528062272,0.668913762
Difference Sampling,99.03673764,108.754294,1.99,4.17,0.276434252,0.403636468
Difference Sampling,97.36998823,109.3652161,2.79,4.66,0.569490202,0.66355486
Difference Sampling,100.2514809,110.989493,2.54,4.28,0.415834687,0.565049082
Difference Sampling,96.85242261,110.4199195,2.46,3.88,0.667553411,0.795274066
Difference Sampling,96.88688341,104.1398613,1.56,3.19,0.269450976,0.499697469
Difference Sampling,98.98727097,113.2523596,-0.86,1.86,0.516078077,0.695617846
Difference Sampling,100.9509048,114.2015447,1.58,4.27,0.357807674,0.436382303
Difference Sampling,105.2524433,119.3970247,-0.27,2.37,0.677363751,0.79015652
Difference Sampling,97.98571517,105.9965233,2.25,3.95,0.458908509,0.596404131
Difference Sampling,98.7170101,106.5916394,0.09,1.46,0.605301428,0.817484805
Difference Sampling,97.38464995,107.1917088,0.56,2.58,0.446957915,0.636062865
Difference Sampling,99.84662731,110.9627533,-0.88,1.01,0.472652139,0.700869371
Difference Sampling,102.1566787,111.4705397,2.72,4.73,0.645168798,0.766530048
Difference Sampling,97.72207545,107.0526706,1.50,2.92,0.586666098,0.670107343
Difference Sampling,100.0430293,111.4708062,2.90,4.70,0.777425856,0.860057545
Difference Sampling,96.88105355,104.7740554,3.36,5.05,0.617212311,0.775852421
Difference Sampling,100.1059123,109.1955669,-0.08,2.46,0.55281554,0.686576655
Difference Sampling,103.5705723,111.9709835,0.14,2.38,0.476980133,0.695792244
Difference Sampling,102.9607537,112.7137162,-1.24,1.75,0.545161591,0.730490828
Difference Sampling,96.50164346,105.9297727,1.17,2.62,0.564370207,0.721283198
Difference Sampling,95.85397167,104.4120152,1.28,3.85,0.564232382,0.736596803
Difference Sampling,98.78051722,105.7381407,0.72,2.89,0.704877109,0.821037757
Difference Sampling,104.061165,113.2432398,2.84,4.18,0.270623112,0.380223548
Difference Sampling,98.82258806,108.1862194,0.37,3.28,0.847393181,0.951658
Difference Sampling,103.7863294,112.0789312,2.53,3.59,0.581212315,0.933111844
Difference Sampling,99.74034809,109.2043359,1.70,3.76,0.775202279,0.889702979
Difference Sampling,104.3302584,113.1756148,0.04,2.69,0.502623361,0.671003529
Difference Sampling,98.72265325,106.5139107,1.10,2.34,0.405222744,0.611817526
Difference Sampling,98.70429333,106.846737,-0.64,2.47,0.570142932,0.703423582
Difference Sampling,99.375816,107.8819668,3.31,4.52,0.38316251,0.549533609
Difference Sampling,104.2839427,115.6637565,1.22,3.62,0.527461317,0.652980095
Difference Sampling,100.7191049,106.7390469,-0.83,2.98,0.545232751,0.691837839
Difference Sampling,102.1376293,114.6285485,1.70,3.68,0.622222826,0.833866067
Difference Sampling,101.0968718,108.0096056,3.09,3.80,0.642847795,0.845248962
Difference Sampling,102.8126063,112.3748552,0.97,1.71,0.103740759,0.187036206
Difference Sampling,100.7262274,112.1268104,-0.85,1.42,0.277615159,0.45624094
Difference Sampling,105.4358713,118.7701751,-0.65,1.57,0.59272261,0.727894597
Difference Sampling,97.32939359,106.2959765,1.04,3.35,0.658467895,0.876812037
Difference Sampling,97.02377293,105.8465594,-0.72,1.28,0.626234836,0.718008729
Difference Sampling,105.8534921,117.9048173,0.12,2.00,0.478331207,0.691094334
Difference Sampling,94.65710532,103.5454891,0.28,1.89,0.497142112,0.70814486
Difference Sampling,93.47417023,104.4735506,2.21,4.07,0.426989207,0.595531542
Difference Sampling,101.1916954,110.7943595,0.01,1.18,0.498181732,0.652290575
Difference Sampling,101.3933604,111.6161702,-1.71,2.54,0.661037416,0.836332414
Difference Sampling,107.4873671,119.6766075,0.97,2.75,0.317812793,0.450343009
Difference Sampling,98.82879516,109.4422952,1.11,2.93,0.638019288,0.772098649
Difference Sampling,102.7126999,110.456396,2.21,4.95,0.281717239,0.494139956
Difference Sampling,98.55773289,110.7533784,1.73,3.60,0.664684782,0.775545887
Difference Sampling,100.3414448,109.9400864,-1.04,3.26,0.62184583,0.845509938
Difference Sampling,97.1253231,103.4762177,1.52,4.29,0.594529866,0.654055728
Difference Sampling,102.5576118,111.453574,-0.89,1.56,0.365363099,0.440668451
Difference Sampling,96.28698518,106.4279547,-1.30,2.40,0.473367106,0.819631406
Difference Sampling,97.559218,110.5220893,-0.89,0.88,0.72304532,0.868628042
Difference Sampling,98.04776846,108.6885318,2.62,3.53,0.404123371,0.672357557
Difference Sampling,96.60923675,110.1716983,1.14,2.62,0.419438618,0.596771584
Difference Sampling,101.2391415,113.4382813,1.17,2.74,0.517355153,0.655329435
Difference Sampling,101.4952006,113.1798602,1.49,3.26,0.647922107,0.769878309
Difference Sampling,103.1110599,115.09944,1.15,2.82,0.38048673,0.546545676
Difference Sampling,95.22780204,104.4794134,-0.05,2.13,0.509964651,0.735849826
Difference Sampling,98.02288494,105.5309713,2.35,4.64,0.671576721,0.734542683
Difference Sampling,97.94043541,105.9899341,1.92,2.82,0.634559094,0.814594454
Difference Sampling,101.5750257,112.1877296,-0.25,2.80,0.40760073,0.515813745
Difference Sampling,107.0144293,121.9207403,2.14,3.41,0.578268294,0.689702422
Difference Sampling,97.0485334,107.3477357,1.64,4.13,0.726395018,0.831272977
Difference Sampling,99.94164432,109.8372474,1.54,3.66,0.502310007,0.659060032
Difference Sampling,101.687599,111.9432359,0.87,2.87,0.69725424,0.896549104
Difference Sampling,103.6056419,111.0370786,1.65,3.18,0.490691115,0.652466288
Difference Sampling,98.90043857,107.8858794,0.26,2.97,0.607655867,0.715013177
Difference Sampling,101.3508867,109.0955472,1.17,3.54,0.477473956,0.671191777
Difference Sampling,94.22123036,104.0147484,1.02,3.50,0.650961209,0.787318546
Difference Sampling,99.89189493,108.927825,2.64,3.70,0.595131028,0.755611741
Difference Sampling,95.25048265,104.3080946,3.13,3.97,0.63492224,0.815511729
Difference Sampling,105.625673,115.4202725,-0.22,2.69,0.751264445,0.85244257
Difference Sampling,98.13024011,109.1572614,-0.99,1.75,0.632021702,0.806883174
Difference Sampling,101.2092755,113.4087482,1.18,3.66,0.753469696,0.854123468
Difference Sampling,96.60255418,106.284892,3.03,3.92,0.629261409,0.723133828
Difference Sampling,101.2353469,110.9482652,0.92,2.95,0.436168351,0.604860033
Difference Sampling,99.9377724,109.2033266,0.59,3.22,0.522190994,0.699561137
Difference Sampling,102.5555612,110.5144016,0.64,3.44,0.679265526,0.85941106
Difference Sampling,100.6088709,109.4873772,5.15,6.32,0.608147345,0.706900481
Difference Sampling,97.81712694,109.6239839,-0.23,2.00,0.521530361,0.757141598
Difference Sampling,99.83179083,111.3376351,-0.65,1.75,0.721226776,0.830638361
Difference Sampling,91.94749525,99.20586838,1.40,3.77,0.735756969,0.874477149
Difference Sampling,95.15940089,106.299126,-3.73,1.33,0.563941173,0.693120602
Difference Sampling,98.58479136,108.1309569,1.88,3.43,0.508011839,0.625776789
Difference Sampling,98.10265938,108.1410266,1.21,4.41,0.243318857,0.463047264
Difference Sampling,104.4290382,117.3144978,-0.96,2.16,0.415499003,0.542449641
Difference Sampling,98.0664268,108.4134072,-0.93,1.51,0.524139277,0.651656226
Difference Sampling,102.2985025,113.2124658,-0.21,1.53,0.248697685,0.474841551
Difference Sampling,98.14576115,111.1852498,2.77,3.83,0.471589052,0.73424165
Difference Sampling,102.4985021,110.532117,1.86,3.85,0.486518574,0.699276106
Difference Sampling,98.18949304,108.7697028,0.44,2.37,0.329870911,0.552555876
Difference Sampling,100.6039511,117.4090199,1.26,3.26,0.362184156,0.568068553
Difference Sampling,96.9891099,105.2167051,3.96,4.83,0.663164191,0.808462153
Difference Sampling,94.36107785,104.623852,1.41,2.11,0.621147345,0.734671888
Difference Sampling,92.74152263,104.4031557,-1.37,0.61,0.450427071,0.625663103
Difference Sampling,98.33759453,107.4134789,1.35,4.48,0.626620245,0.810975347
Difference Sampling,96.41313223,106.0909377,2.39,4.13,0.352401784,0.575975515
Difference Sampling,102.1671007,114.6010725,1.21,3.62,0.541886939,0.726674542
Difference Sampling,100.2648445,111.1864431,0.49,2.42,0.506855581,0.780210841
Difference Sampling,107.6098905,118.2209337,-0.42,0.61,0.724531344,0.839286129
Difference Sampling,103.7189154,115.0114994,1.03,3.82,0.480796757,0.672892828
Difference Sampling,99.73123183,112.6209914,-2.45,3.24,0.446963041,0.678568957
Difference Sampling,99.16657077,112.1583081,0.33,2.28,0.60399559,0.783338024
Difference Sampling,98.81933545,109.3851189,1.52,2.89,0.625490549,0.76123515
Difference Sampling,97.56369415,110.1738628,3.57,4.82,0.280938518,0.401794025
Difference Sampling,99.15528011,109.4772696,1.39,3.72,0.34915861,0.571044342
Difference Sampling,99.013658,109.3656162,0.10,1.77,0.824277667,0.911409124
Difference Sampling,100.3105872,111.3184244,0.61,3.55,0.527491694,0.649954003
Difference Sampling,100.2881876,109.8769094,-0.02,2.41,0.69605024,0.823189379
Difference Sampling,98.90136456,111.9342157,1.48,2.11,0.469898137,0.644989806
Difference Sampling,95.54230479,104.7105465,-0.85,2.41,0.524191648,0.702231201
Difference Sampling,108.4357088,119.2210402,1.78,3.38,0.647160158,0.758721068
Difference Sampling,99.56674528,109.0152644,1.67,2.94,0.415502175,0.653035375
Difference Sampling,104.7649784,116.6389212,0.85,2.17,0.430995759,0.555207622
Difference Sampling,100.7285212,109.8267425,2.67,4.56,0.694144609,0.802685062
Difference Sampling,103.0071554,110.5997342,-0.77,2.04,0.423583162,0.493839443
Difference Sampling,93.15900249,104.469511,-0.71,1.52,0.451075335,0.652791147
Difference Sampling,99.154226,110.4111132,1.11,2.73,0.364497912,0.567992195
Difference Sampling,101.0242775,109.0666129,0.66,2.31,0.525768321,0.69377754
Difference Sampling,110.0780297,123.3637029,1.98,3.61,0.410545507,0.508123662
Difference Sampling,98.74157851,106.7319087,0.56,2.87,0.653431538,0.795375887
Difference Sampling,101.5803629,113.1622293,1.94,4.32,0.211930987,0.331567222
Difference Sampling,105.6733662,117.3870264,0.90,3.00,0.648573066,0.767077993
Difference Sampling,99.65333595,110.6684387,-0.68,1.27,0.215963184,0.481662237
Difference Sampling,97.91001169,107.9378683,-0.59,0.48,0.664368398,0.88254676
Difference Sampling,101.5147496,114.2049884,0.03,1.51,0.546591619,0.721528479
Difference Sampling,104.5782161,113.5697792,1.11,3.33,0.26844793,0.471176254
Difference Sampling,103.1249654,117.6815564,0.57,2.65,0.772978053,0.900350213
Difference Sampling,101.6060759,111.0840251,2.42,4.89,0.649922057,0.794272173
Difference Sampling,102.8221532,116.8321843,1.89,3.76,0.63642372,0.80094864
Difference Sampling,102.1787242,113.2045271,2.59,4.14,0.421436655,0.600773013
Difference Sampling,105.351537,115.3364198,0.03,2.06,0.793915361,0.881426804
Difference Sampling,98.38212822,105.8756544,1.91,3.30,0.786750413,0.894217076
Difference Sampling,99.36322857,109.0578897,1.01,4.07,0.420707114,0.547590145
Difference Sampling,94.24430982,107.5836091,0.47,2.64,0.45684365,0.632477232
Difference Sampling,102.153786,111.4503764,-2.13,3.78,0.530367705,0.694477178
Difference Sampling,104.2583495,114.4024627,1.90,3.32,0.459898807,0.748626546
Difference Sampling,99.32639992,110.1305832,0.34,1.68,0.634106698,0.796544449
Difference Sampling,95.80831508,106.4074709,0.51,1.68,0.592839958,0.688364503
Difference Sampling,107.6081549,116.8029887,2.06,3.50,0.738599312,0.84650494
Difference Sampling,102.9093896,116.0943841,3.29,5.46,0.566438813,0.673267135
Difference Sampling,96.80765443,106.7300984,0.64,2.97,0.469007865,0.671831196
Difference Sampling,93.45624255,104.3416055,0.93,3.10,0.703491252,0.846203223
Difference Sampling,96.76319538,109.3317023,0.62,2.64,0.417699108,0.591488943
Difference Sampling,99.43850774,110.267316,2.23,4.06,0.644131706,0.780656122
Difference Sampling,102.7363673,113.6050746,0.56,2.34,0.479969904,0.659199826
Difference Sampling,99.55346353,107.5512597,0.76,3.04,0.596745631,0.708023656
Difference Sampling,103.4712203,113.1822388,0.08,2.09,0.297073484,0.436074811
Difference Sampling,102.4029006,109.2845199,-0.09,1.26,0.438281546,0.538940033
Difference Sampling,100.9192435,110.3028422,0.56,2.65,0.473571674,0.715346394
Difference Sampling,97.26592107,104.8138252,0.53,2.33,0.459976166,0.578487654
Difference Sampling,97.41425244,110.598563,0.45,2.05,0.352560411,0.622506286
Difference Sampling,97.06641026,104.6257264,-1.35,1.48,0.530399893,0.666429426
Difference Sampling,97.11954839,110.32792,-1.27,0.74,0.678857948,0.854669244
Difference Sampling,98.83084626,106.3738513,1.13,2.41,0.294302601,0.416089435
Difference Sampling,102.012779,110.1437815,4.11,5.44,0.382704452,0.630988487
Difference Sampling,103.2190831,112.4028757,1.21,2.59,0.592388404,0.752255385
Difference Sampling,103.286334,114.055327,4.38,5.13,0.408885609,0.572210207
Difference Sampling,99.44067494,108.2552942,1.22,3.65,0.641970253,0.844057709
Difference Sampling,96.60796778,104.8737325,0.22,2.42,0.619076575,0.785648374
Difference Sampling,96.50282807,108.4877008,2.40,4.27,0.7037325,0.894319169
Difference Sampling,100.6153973,111.0303874,3.85,4.42,0.526310182,0.714674854
Difference Sampling,101.6838317,112.1092616,0.09,1.57,0.685489787,0.831496442
Difference Sampling,111.1694516,123.3574537,-1.83,0.51,0.583332629,0.796683627
Difference Sampling,100.6097658,110.5059302,0.90,3.63,0.710946142,0.896481785
Difference Sampling,107.8145144,118.2427431,1.06,2.83,0.663242051,0.829049512
Difference Sampling,100.0810811,107.6390008,2.89,4.20,0.350915027,0.589363842
Difference Sampling,97.44529575,108.1280244,0.91,3.54,0.471657608,0.60153322
Difference Sampling,100.5384448,114.5501889,1.86,2.77,0.545020313,0.682127575
Difference Sampling,99.66480458,106.5755993,-0.27,2.96,0.739811011,0.857096436
Difference Sampling,103.3263404,111.7891373,0.81,4.11,0.530769961,0.737582859
Difference Sampling,102.7631907,113.2481689,1.56,2.91,0.594555075,0.685118571
Difference Sampling,99.70318834,110.0554382,2.01,3.46,0.565007612,0.720219893
Difference Sampling,99.04002093,108.604842,-0.16,2.14,0.419056491,0.647670681
Difference Sampling,93.67484248,104.8310643,1.03,2.99,0.447412447,0.531528344
Difference Sampling,104.5551803,113.9482328,0.17,2.24,0.331409765,0.694563368
Difference Sampling,101.6302505,111.5294703,1.29,3.34,0.370536997,0.777402919
Difference Sampling,100.8041221,110.3606976,0.83,2.54,0.441878788,0.688675669
Difference Sampling,104.4608152,113.8595576,1.01,2.67,0.852963885,0.909408496
Difference Sampling,93.19305588,100.7497967,1.70,3.26,0.43995693,0.543222309
Difference Sampling,101.2589017,110.8897719,1.69,2.87,0.647155776,0.789932846
Difference Sampling,100.0595787,111.2010755,-0.21,1.77,0.64696192,0.858973693
Difference Sampling,98.05462272,111.3891125,0.67,3.25,0.712574147,0.820463225
Difference Sampling,97.15901081,106.4432765,-0.43,2.37,0.81240628,0.917793554
Difference Sampling,96.65933103,104.9420231,0.15,2.48,0.717131201,0.805127587
Difference Sampling,103.6647755,115.2453614,-0.07,1.82,0.54500735,0.831792512
Difference Sampling,102.9659373,112.878043,-1.59,0.90,0.363467531,0.515878416
Difference Sampling,101.1749461,112.5369222,0.84,3.36,0.491955352,0.594906656
Difference Sampling,100.4796949,109.0840651,3.93,5.67,0.452248415,0.716661706
Difference Sampling,104.4951399,115.6514576,2.00,3.35,0.298321992,0.482031789
Difference Sampling,104.0649082,114.8859909,1.09,3.70,0.381211367,0.60539443
Difference Sampling,100.7494983,109.6119911,0.36,2.81,0.74491775,0.837578277
Difference Sampling,96.39949527,105.4010045,-0.29,1.98,0.39604149,0.599470384
Difference Sampling,100.8637326,112.1262732,1.67,3.81,0.501107075,0.715673939
Difference Sampling,96.81322398,108.5573289,2.76,4.21,0.560520509,0.641680771
Difference Sampling,102.174883,113.46889,1.10,4.15,0.707724171,0.85052486
Difference Sampling,102.861161,114.7336516,1.98,4.30,0.494126384,0.64219854
Difference Sampling,94.8181559,104.2036597,-0.68,2.28,0.666907311,0.85212737
Difference Sampling,93.81125301,102.1585122,2.63,4.76,0.652760935,0.779010618
Difference Sampling,111.0970733,121.0822116,-0.35,2.19,0.665983902,0.887450888
Difference Sampling,96.68304961,107.1454497,0.99,2.96,0.517791527,0.66903167
Difference Sampling,99.41048816,110.078153,1.70,3.03,0.591919043,0.704994395
Difference Sampling,95.70454425,105.7682215,2.26,4.11,0.497464409,0.698522215
Difference Sampling,99.65418941,110.5536099,-0.11,3.24,0.602532233,0.676082667
Difference Sampling,99.14568699,108.4671821,0.46,3.39,0.598989973,0.732813359
Difference Sampling,101.2763769,109.7444373,-0.51,1.21,0.562856518,0.665679489
Difference Sampling,96.53970274,105.870931,0.11,1.40,0.222814759,0.280403593
Difference Sampling,96.54838131,104.2390174,0.96,3.25,0.641967664,0.704030472
Difference Sampling,99.59582553,106.9262396,0.07,3.02,0.714860755,0.937609259
Difference Sampling,102.4883443,110.8459022,1.10,3.76,0.645451652,0.804781916
Difference Sampling,102.8876511,109.4778383,-0.99,0.81,0.779253889,0.885400753
Difference Sampling,101.1748263,113.3735664,-0.60,2.54,0.381224793,0.66726269
Difference Sampling,98.46189961,109.116276,-1.18,2.08,0.747283277,0.826247536
Difference Sampling,102.8842811,112.6186167,1.02,3.57,0.483609581,0.825922274
Difference Sampling,102.4186424,111.0462865,-1.19,1.07,0.539082439,0.701661346
Difference Sampling,100.8706774,109.1161902,3.15,4.42,0.498893286,0.698249704
Difference Sampling,99.18645,109.3501848,3.18,5.02,0.502639017,0.680346526
Difference Sampling,99.34990012,111.6865351,2.69,4.08,0.641840887,0.840292725
Difference Sampling,93.35366213,102.4382742,-0.70,1.79,0.530806409,0.645451173
Difference Sampling,102.0087842,113.811534,2.08,4.58,0.660279398,0.85659657
Difference Sampling,96.78958724,104.3760333,-0.04,1.96,0.702641859,0.845748161
Difference Sampling,103.8056879,115.9939999,2.26,3.62,0.425867074,0.634116538
Difference Sampling,103.5572637,111.8081315,1.70,4.83,0.56842188,0.834026953
Difference Sampling,101.2815573,110.4480873,0.13,2.19,0.405856293,0.54986809
Difference Sampling,104.9176441,113.4031707,0.34,2.24,0.668067209,0.787174543
Difference Sampling,102.5515039,112.7310149,-1.01,1.94,0.696104116,0.829856828
Difference Sampling,102.5177944,115.0597066,-1.60,2.46,0.345023143,0.516537739
Difference Sampling,100.8137122,111.4775411,0.10,2.40,0.4863947,0.673618286
Difference Sampling,97.60939278,108.0461551,0.32,2.48,0.509287984,0.63871364
Difference Sampling,97.26550077,109.5236195,0.93,2.94,0.5975487,0.775792148
Difference Sampling,104.9623768,113.9951327,0.76,2.46,0.798451634,0.863381874
Difference Sampling,96.78376923,107.5165357,0.31,2.52,0.524692405,0.774850917
Difference Sampling,102.0267948,112.5492759,0.03,3.41,0.516611187,0.68787264
Difference Sampling,99.48436468,107.9020728,0.78,1.61,0.39687953,0.567159393
Difference Sampling,99.02107874,109.2262825,0.85,2.79,0.686328418,0.820438663
Difference Sampling,100.6019958,108.1277486,1.17,3.04,0.464235185,0.682144185
Difference Sampling,101.2103567,111.4931089,2.10,4.67,0.633934988,0.803091449
Difference Sampling,100.8062379,110.2378914,1.45,4.29,0.734333505,0.850011978
Difference Sampling,100.0078188,110.1169837,-0.33,2.09,0.42956603,0.721248451
Difference Sampling,104.1732949,113.8620283,0.59,3.04,0.638185053,0.730076749
Difference Sampling,103.1908426,114.3825095,2.33,4.11,0.390671783,0.627438172
